Faixa etária;2010;2011;2012;2013;2014;2015
5-14 years;87;86;85;143;151;158
15-24 years;830;863;954;975;990;1132
25-34 years;1092;1238;1231;1285;1347;1444
35-54 years;3604;3776;3857;3776;4018;4053
55-74 years;2071;2128;2264;2484;2676;2872
75+ years;403;421;428;431;477;540
