Faixa etária;2010;2011;2012;2013;2014;2015
5-14 years;42;52;55;58;68;62
15-24 years;1315;1304;1294;1242;1180;1091
25-34 years;2543;2404;2244;2178;2131;1948
35-54 years;7351;6975;6413;6333;5710;5507
55-74 years;7466;6858;6134;5908;5477;5241
75+ years;2188;2188;2262;2362;2254;2297
