Faixa etária;2010;2011;2012;2013;2014;2015
5-14 years;131;102;107;111;96;79
15-24 years;3934;3569;3275;2770;2311;1928
25-34 years;6508;6011;5762;5825;5276;4994
35-54 years;10304;9411;8755;8815;8105;7898
55-74 years;5178;4892;4804;4644;4501;4443
75+ years;1506;1485;1486;1549;1597;1519
