Faixa etária;2010;2011;2012;2013;2014;2015
5-14 years;21;22;20;34;34;28
15-24 years;508;616;495;467;432;408
25-34 years;1008;1112;931;850;814;685
35-54 years;2404;2598;2242;2242;2158;2024
55-74 years;2879;2883;2636;2604;2512;2292
75+ years;1686;1754;1612;1713;1587;1509
