Faixa etária;2010;2011;2012;2013;2014;2015
5-14 years;187;201;226;252;277;255
15-24 years;3772;3959;3918;3903;4089;4359
25-34 years;4645;4862;4985;5063;5222;5503
35-54 years;11767;11681;11763;11396;11455;11634
55-74 years;7287;7572;8032;8445;8961;9068
75+ years;2617;2721;2853;2990;3106;3171
