Faixa etária;2010;2011;2012;2013;2014;2015
5-14 years;48;47;41;50;62;56
15-24 years;368;413;383;362;371;397
25-34 years;404;400;455;393;457;466
35-54 years;835;805;877;897;871;910
55-74 years;339;352;418;433;389;479
75+ years;79;71;80;88;83;89
